name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
Kato,|~Bent arm swing fwd. to hop % t. to sup.,|~I,|~Elements in support or through support on 2 bars,|~B,|~0.2,|~122,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-1-col-2.png
,|~Stiitzkehr fwd. to hdst.(to 1 or 2 bars).,|~I,|~Elements in support or through support on 2 bars,|~C,|~0.3,|~122,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-1-col-3.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~D,|~0.4,|~122,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-1-col-4.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~E,|~0.5,|~122,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-1-col-5.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~F/G/H,|~0.6,|~122,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-1-col-6.png
,|~Any L-sit on 1 or 2 rails (2 s.).,|~I,|~Elements in support or through support on 2 bars,|~A,|~0.1,|~122,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-2-col-1.png
Carminucci,|~‘Swing fwd. w. 1/1 t. to up. arm hang.,|~I,|~Elements in support or through support on 2 bars,|~B,|~0.2,|~122,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-2-col-2.png
Babos,|~Straddle cut bwd. directly to hang,|~I,|~Elements in support or through support on 2 bars,|~C,|~0.3,|~122,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-2-col-3.png
Bilozerchev - Peters) (Dimic,|~Sttitzkehr fwd. or salto bwd. to hdst. sideways on. 1 rail (also with additional % or % turn to hdst.).,|~I,|~Elements in support or through support on 2 bars,|~D,|~0.4,|~122,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-2-col-4.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~E,|~0.5,|~122,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-2-col-5.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~F/G/H,|~0.6,|~122,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-2-col-6.png
,|~Straddle cut fwd. to support or L-sit (2 s.) ee at f ft,|~I,|~Elements in support or through support on 2 bars,|~A,|~0.1,|~122,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-3-col-1.png
,|~Stradale cut bwd, to hdst.,|~I,|~Elements in support or through support on 2 bars,|~B,|~0.2,|~122,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-3-col-2.png
