name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~II,|~Acrobatic elements forward,|~C,|~0.3,|~50,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-2-col-3.png
,|~,|~II,|~Acrobatic elements forward,|~D,|~0.4,|~50,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-2-col-4.png
,|~,|~II,|~Acrobatic elements forward,|~E,|~0.5,|~50,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-2-col-5.png
,|~,|~II,|~Acrobatic elements forward,|~F/G/H,|~0.6,|~50,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-2-col-6.png
,|~,|~II,|~Acrobatic elements forward,|~A,|~0.1,|~50,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-3-col-1.png
,|~,|~II,|~Acrobatic elements forward,|~B,|~0.2,|~50,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-3-col-2.png
,|~,|~II,|~Acrobatic elements forward,|~C,|~0.3,|~50,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-3-col-3.png
,|~,|~II,|~Acrobatic elements forward,|~D,|~0.4,|~50,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-3-col-4.png
,|~,|~II,|~Acrobatic elements forward,|~E,|~0.5,|~50,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-3-col-5.png
,|~,|~II,|~Acrobatic elements forward,|~F/G/H,|~0.6,|~50,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-3-col-6.png
,|~,|~II,|~Acrobatic elements forward,|~A,|~0.1,|~50,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-4-col-1.png
,|~,|~II,|~Acrobatic elements forward,|~B,|~0.2,|~50,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-4-col-2.png
,|~,|~II,|~Acrobatic elements forward,|~C,|~0.3,|~50,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-4-col-3.png
,|~,|~II,|~Acrobatic elements forward,|~D,|~0.4,|~50,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-4-col-4.png
,|~,|~II,|~Acrobatic elements forward,|~E,|~0.5,|~50,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-4-col-5.png
,|~,|~II,|~Acrobatic elements forward,|~F/G/H,|~0.6,|~50,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-4-col-6.png
,|~,|~I,|~,|~A,|~0.1,|~44,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-1-col-1.png
,|~oun,|~I,|~,|~B,|~0.2,|~44,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-1-col-2.png
,|~Swallow (2 s.).,|~I,|~,|~C,|~0.3,|~44,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-1-col-3.png
,|~,|~I,|~,|~D,|~0.4,|~44,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-1-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~44,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-1-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~44,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-1-col-6.png
,|~% or 1/1 tum in handstand or to handstand.,|~I,|~,|~A,|~0.1,|~44,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-2-col-1.png
,|~From straddled support scale (2's.) press hdst.,|~I,|~,|~B,|~0.2,|~44,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-2-col-2.png
,|~From support scale 2's. press handstand (2 s.).,|~I,|~,|~C,|~0.3,|~44,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-2-col-3.png
Alvarifio,|~From Swallow 2 s. press to Japanese hdst. (2 s.).,|~I,|~,|~D,|~0.4,|~44,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-2-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~44,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-2-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~44,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-2-col-6.png
,|~From L-sit, etc., turn over bwd. to stand.,|~I,|~,|~A,|~0.1,|~44,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-44-row-3-col-1.png
