name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~III,|~In bar and Adler elements,|~C,|~0.3,|~154,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-2-col-3.png
,|~,|~III,|~In bar and Adler elements,|~D,|~0.4,|~154,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-2-col-4.png
,|~,|~III,|~In bar and Adler elements,|~E,|~0.5,|~154,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-2-col-5.png
,|~,|~III,|~In bar and Adler elements,|~F/G/H,|~0.6,|~154,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-2-col-6.png
,|~From hang or from support, free hip circle through handstand.,|~III,|~In bar and Adler elements,|~A,|~0.1,|~154,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-3-col-1.png
,|~,|~III,|~In bar and Adler elements,|~B,|~0.2,|~154,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-3-col-2.png
,|~,|~III,|~In bar and Adler elements,|~C,|~0.3,|~154,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-3-col-3.png
,|~,|~III,|~In bar and Adler elements,|~D,|~0.4,|~154,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-3-col-4.png
,|~,|~III,|~In bar and Adler elements,|~E,|~0.5,|~154,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-3-col-5.png
,|~,|~III,|~In bar and Adler elements,|~F/G/H,|~0.6,|~154,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-3-col-6.png
