name,|~explanation,|~group,|~group_name,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-1-col-5.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-1-col-6.png
,|~Hdspr. fwd. and salto fwd. p. w. 1/1 t. (Cuervo,|~I,|~Single salto vaults with complex twists,|~3.6,|~108,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-2-col-1.png
,|~Hadspr. fwd. and salto fwd. p. w. 3/2 t. (Cuervo,|~I,|~Single salto vaults with complex twists,|~4.0,|~108,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-2-col-2.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-2-col-3.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-2-col-4.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-2-col-5.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-2-col-6.png
,|~Hidspr. fwd. and salto fwd. str. w. 1/1 t. (Cuervo,|~I,|~Single salto vaults with complex twists,|~FS,|~108,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-3-col-1.png
,|~Haspr. fwd. and salto fwd. str. w. 3/2 t. (Cuervo con 1/1 g.).,|~I,|~Single salto vaults with complex twists,|~,|~108,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-3-col-2.png
,|~Hidspr. fwd. and salto fwd. str. w. 2/1 t. (Cuervo con 3/2 g.).,|~I,|~Single salto vaults with complex twists,|~,|~108,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-3-col-3.png
