name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~E,|~0.5,|~87,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-87-row-4-col-5.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~F/G/H,|~0.6,|~87,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-87-row-4-col-6.png
,|~Dislocate bwd. piked or straight.,|~I,|~Kip and swing elements & swings through or to handstand,|~A,|~0.1,|~86,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-1-col-1.png
Deltchev,|~Felge upward to support with straddled legs supported above the rings (2 s.). \ Jf f~—oot fod,|~I,|~Kip and swing elements & swings through or to handstand,|~B,|~0.2,|~86,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-1-col-2.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~C,|~0.3,|~86,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-1-col-3.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~D,|~0.4,|~86,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-1-col-4.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~E,|~0.5,|~86,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-1-col-5.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~F/G/H,|~0.6,|~86,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-1-col-6.png
,|~Uprise bw. to support.,|~I,|~Kip and swing elements & swings through or to handstand,|~A,|~0.1,|~86,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-2-col-1.png
,|~Uprise bwd. str. through handstand.,|~I,|~Kip and swing elements & swings through or to handstand,|~B,|~0.2,|~86,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-2-col-2.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~C,|~0.3,|~86,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-2-col-3.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~D,|~0.4,|~86,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-2-col-4.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~E,|~0.5,|~86,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-2-col-5.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~F/G/H,|~0.6,|~86,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-2-col-6.png
,|~Inlocate piked or straight.,|~I,|~Kip and swing elements & swings through or to handstand,|~A,|~0.1,|~86,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-3-col-1.png
Honma,|~Backward swing to salto fwd. piked to support:,|~I,|~Kip and swing elements & swings through or to handstand,|~B,|~0.2,|~86,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-3-col-2.png
,|~Honma straight. \{Jf i,|~I,|~Kip and swing elements & swings through or to handstand,|~C,|~0.3,|~86,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-3-col-3.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~D,|~0.4,|~86,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-3-col-4.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~E,|~0.5,|~86,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-3-col-5.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~F/G/H,|~0.6,|~86,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-3-col-6.png
,|~Slow inlocate from hang.,|~I,|~Kip and swing elements & swings through or to handstand,|~A,|~0.1,|~86,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-4-col-1.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~B,|~0.2,|~86,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-4-col-2.png
Yamawaki,|~Double salto fwd. tucked to hang.,|~I,|~Kip and swing elements & swings through or to handstand,|~C,|~0.3,|~86,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-4-col-3.png
Jonasson,|~Double salto fwd. piked or straight to hang.,|~I,|~Kip and swing elements & swings through or to handstand,|~D,|~0.4,|~86,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-4-col-4.png
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~E,|~0.5,|~86,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-4-col-5.png
